course_name,skill_covered
Python for Beginners,Python
SQL Masterclass,SQL
Machine Learning Basics,Machine Learning
Git Essentials,Git
Communication Skills,Communication
Data Analysis Masterclass,Data Analysis
MATLAB Fundamentals,MATLAB
RF Engineering Basics,RF
Wireless Communication Fundamentals,Wireless
Telecom Networking Essentials,Networking
Fiber Optics Masterclass,Fiber Optics
Electronics Fundamentals,Electronics
Embedded Systems Basics,Embedded Systems
Linux for Engineers,Linux
C++ Programming Masterclass,C++
